species	sepal_length	sepal_width	petal_length	petal_width
103virginica	5.8	2.7	5.1	1.9
104virginica	7.1	3.0	5.9	2.1
105virginica	6.3	2.9	5.6	1.8
106virginica	6.5	3.0	5.8	2.2
107virginica	7.6	3.0	6.6	2.1
108virginica	4.9	2.5	4.5	1.7
109virginica	7.3	2.9	6.3	1.8
110virginica	6.7	2.5	5.8	1.8
111virginica	7.2	3.6	6.1	2.5
112virginica	6.5	3.2	5.1	2.0
113virginica	6.4	2.7	5.3	1.9
114virginica	6.8	3.0	5.5	2.1
115virginica	5.7	2.5	5.0	2.0
116virginica	5.8	2.8	5.1	2.4
117virginica	6.4	3.2	5.3	2.3
118virginica	6.5	3.0	5.5	1.8
119virginica	7.7	3.8	6.7	2.2
120virginica	7.7	2.6	6.9	2.3
121virginica	6.0	2.2	5.0	1.5
122virginica	6.9	3.2	5.7	2.3
123virginica	5.6	2.8	4.9	2.0
124virginica	7.7	2.8	6.7	2.0
125virginica	6.3	2.7	4.9	1.8
126virginica	6.7	3.3	5.7	2.1
127virginica	7.2	3.2	6.0	1.8
128virginica	6.2	2.8	4.8	1.8
129virginica	6.1	3.0	4.9	1.8
130virginica	6.4	2.8	5.6	2.1
131virginica	7.2	3.0	5.8	1.6
132virginica	7.4	2.8	6.1	1.9
133virginica	7.9	3.8	6.4	2.0
134virginica	6.4	2.8	5.6	2.2
135virginica	6.3	2.8	5.1	1.5
136virginica	6.1	2.6	5.6	1.4
137virginica	7.7	3.0	6.1	2.3
138virginica	6.3	3.4	5.6	2.4
139virginica	6.4	3.1	5.5	1.8
140virginica	6.0	3.0	4.8	1.8
141virginica	6.9	3.1	5.4	2.1
142virginica	6.7	3.1	5.6	2.4
143virginica	6.9	3.1	5.1	2.3
144virginica	5.8	2.7	5.1	1.9
145virginica	6.8	3.2	5.9	2.3
146virginica	6.7	3.3	5.7	2.5
147virginica	6.7	3.0	5.2	2.3
148virginica	6.3	2.5	5.0	1.9
149virginica	6.5	3.0	5.2	2.0
150virginica	6.2	3.4	5.4	2.3
151virginica	5.9	3.0	5.1	1.8
